"","island","item","wh","gap","region","model","surprisal"
"253","nocomp",13,"what","gap","continuation","GRNN",18.8244729042053
"254","nocomp",13,"what","gap","continuation","JRNN",17.8229596614838
"255","nocomp",13,"what","gap","continuation","NGRAM",40.6156920886951
"256","nocomp",13,"what","nogap","embed_obj","GPT2",13.0024662017822
"257","nocomp",13,"what","nogap","embed_obj","GPT3",13.3604554
"258","nocomp",13,"what","nogap","embed_obj","GRNN",21.4351029396057
"259","nocomp",13,"what","nogap","embed_obj","JRNN",22.2985882759094
"260","nocomp",13,"what","nogap","embed_obj","NGRAM",27.9333091874221
"261","nocomp",14,"that","gap","continuation","GPT2",16.3996722698212
"262","nocomp",14,"that","gap","continuation","GPT3",12.5191018
"263","nocomp",14,"that","gap","continuation","GRNN",27.9448432922363
"264","nocomp",14,"that","gap","continuation","JRNN",26.6373019218445
"265","nocomp",14,"that","gap","continuation","NGRAM",35.5420112284687
"266","nocomp",14,"that","nogap","embed_obj","GPT2",10.8012726902962
"267","nocomp",14,"that","nogap","embed_obj","GPT3",10.866866
"268","nocomp",14,"that","nogap","embed_obj","GRNN",18.1843433380127
"269","nocomp",14,"that","nogap","embed_obj","JRNN",16.0014586448669
"270","nocomp",14,"that","nogap","embed_obj","NGRAM",29.4333006537007
"271","nocomp",14,"what","gap","continuation","GPT2",16.2373552322388
"272","nocomp",14,"what","gap","continuation","GPT3",10.7807722
"273","nocomp",14,"what","gap","continuation","GRNN",25.0532164573669
"274","nocomp",14,"what","gap","continuation","JRNN",25.8820614814758
"275","nocomp",14,"what","gap","continuation","NGRAM",35.5420112284687
"276","nocomp",14,"what","nogap","embed_obj","GPT2",15.9484157562256
"277","nocomp",14,"what","nogap","embed_obj","GPT3",13.3416923
"278","nocomp",14,"what","nogap","embed_obj","GRNN",26.9700865745544
"279","nocomp",14,"what","nogap","embed_obj","JRNN",25.0786437988281
"280","nocomp",14,"what","nogap","embed_obj","NGRAM",29.4333006537007
"281","nocomp",15,"that","gap","continuation","GPT2",12.3794530630112
"282","nocomp",15,"that","gap","continuation","GPT3",14.0414794
